CODELIST_ID	TERM_ID	TERM_SYNONYM	SYNONYM_TYPE	SYNONYM_SOURCE
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALE	EXACT	VX
C66732	C16576	FEMALES	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female	EXACT	VX
C66732	C16576	Female Fasted Rats	NARROW	VX
C66732	C16576	Female Non-Fasted Rats	NARROW	VX
C66732	C16576	Females	EXACT	VX
C66732	C16576	Female|Fasted Rats	NARROW	VX
C66732	C16576	Female|Non-Fasted Rats	NARROW	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C16576	female	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	MALE	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Male	EXACT	VX
C66732	C20197	Males	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C20197	male	EXACT	VX
C66732	C49636	BOTH	EXACT	VX
C66732	C49636	BOTH	EXACT	VX
C66732	C49636	BOTH	EXACT	VX
C66732	C49636	BOTH	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Both	EXACT	VX
C66732	C49636	Male and Famale	RELATED	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and Female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Male and female	EXACT	VX
C66732	C49636	Males and Females	EXACT	VX
C66732	C49636	male and female	EXACT	VX
C66732	C49636	male and female	EXACT	VX
C66732	C49636	male and female	EXACT	VX
C66732	C49636	male and female	EXACT	VX
C66732	C49636	male and female	EXACT	VX
C66732	C49636	male and female	EXACT	VX
